date,open,high,low,close,volume,turnover
2014-01-02,6.81,7.69,6.79,7.36,377537,0
2014-01-03,7.43,7.66,7.24,7.46,328701,0
2014-01-06,7.44,7.53,6.88,6.91,297010,0
2014-01-07,6.84,7.12,6.81,6.97,193825,0
2014-01-08,7.01,7.31,6.98,7.19,227638,0
2014-01-09,7.21,7.25,6.59,6.64,292247,0
2014-01-10,6.58,6.65,6.29,6.31,245519,0
2014-01-13,6.40,6.50,6.18,6.26,158113,0
2014-01-14,6.31,6.71,6.28,6.71,190033,0
2014-01-15,6.73,6.75,6.47,6.64,186474,0
2014-01-16,6.62,6.85,6.54,6.55,161229,0
2014-01-17,6.51,6.55,6.33,6.42,124230,0
2014-01-20,6.44,6.62,6.33,6.52,102355,0
2014-01-21,6.48,6.80,6.48,6.79,171268,0
2014-01-22,6.79,6.97,6.73,6.90,187124,0
2014-01-23,7.67,7.67,7.24,7.47,650015,0
2014-01-24,7.47,8.43,7.38,8.05,700300,0
2014-01-27,7.90,8.20,7.76,8.10,374992,0
2014-01-28,8.20,8.50,7.88,8.04,290975,0
2014-01-29,8.19,8.58,8.12,8.16,449087,0
2014-01-30,8.05,8.08,7.73,7.80,283787,0
2014-02-07,7.83,8.75,7.76,8.49,430810,0
2014-02-10,8.49,9.09,8.49,8.89,470597,0
2014-02-11,8.92,8.92,8.58,8.70,277385,0
2014-02-12,8.71,8.97,8.56,8.93,290327,0
2014-02-13,8.99,9.00,8.20,8.24,311903,0
2014-02-14,8.29,8.35,7.97,8.17,307465,0
2014-02-17,8.23,8.59,8.06,8.59,277979,0
2014-02-18,8.55,9.04,8.51,8.79,374385,0
2014-02-19,8.95,9.23,8.80,8.80,452930,0
2014-02-20,8.84,9.31,8.56,9.08,452863,0
2014-02-21,9.31,9.68,9.15,9.26,403136,0
2014-02-24,9.31,10.41,9.31,10.28,655149,0
2014-02-25,10.57,11.20,9.82,10.04,886057,0
2014-02-26,9.92,11.27,9.74,11.27,706249,0
2014-02-27,11.59,12.13,10.86,11.04,823355,0
2014-02-28,10.82,11.37,10.21,11.08,569962,0
2014-03-03,10.90,12.13,10.79,11.87,498731,0
2014-03-04,11.87,12.03,11.37,11.64,297482,0
2014-03-05,11.70,11.87,10.88,10.99,391134,0
