date,open,high,low,close,volume,turnover
2014-01-02,-172.31,-172.31,-174.29,-173.97,26592,0
2014-01-03,-174.57,-174.12,-176.24,-175.62,28243,0
2014-01-06,-176.53,-174.86,-178.33,-178.31,36577,0
2014-01-07,-178.82,-177.80,-179.57,-178.45,21827,0
2014-01-08,-178.51,-177.94,-180.56,-179.41,38707,0
2014-01-09,-179.74,-177.43,-180.07,-179.46,57943,0
2014-01-10,-179.73,-178.56,-180.52,-179.52,25563,0
2014-01-13,-179.49,-177.00,-179.67,-179.00,45551,0
2014-01-14,-178.75,-177.43,-179.82,-177.83,28404,0
2014-01-15,-178.49,-177.96,-180.52,-179.94,23862,0
2014-01-16,-179.86,-176.89,-179.95,-177.27,47335,0
2014-01-17,-177.43,-176.72,-178.81,-178.67,39160,0
2014-01-20,-177.34,-172.88,-178.07,-173.30,72710,0
2014-01-21,-173.95,-171.72,-174.49,-173.14,42840,0
2014-01-22,-173.15,-166.67,-173.71,-167.20,89138,0
2014-01-23,-167.20,-166.19,-169.19,-167.27,48712,0
2014-01-24,-167.76,-165.95,-168.58,-166.10,43295,0
2014-01-27,-166.61,-159.26,-166.80,-161.77,101048,0
2014-01-28,-161.96,-160.73,-164.45,-163.03,44045,0
2014-01-29,-162.57,-161.51,-165.29,-164.86,38139,0
2014-01-30,-165.28,-164.91,-169.82,-168.83,45039,0
2014-02-07,-168.95,-166.83,-169.77,-167.43,28877,0
2014-02-10,-167.34,-167.01,-169.94,-168.29,43864,0
2014-02-11,-168.34,-166.04,-168.91,-167.31,52038,0
2014-02-12,-167.18,-166.54,-167.91,-167.22,23332,0
2014-02-13,-167.32,-163.72,-167.34,-165.96,46666,0
2014-02-14,-166.20,-159.91,-166.20,-159.99,81566,0
2014-02-17,-159.00,-153.30,-159.00,-154.14,105832,0
2014-02-18,-154.58,-154.58,-157.33,-156.59,40704,0
2014-02-19,-156.56,-152.49,-156.56,-154.51,38094,0
2014-02-20,-154.53,-152.82,-155.77,-154.96,28058,0
2014-02-21,-155.77,-154.00,-155.96,-154.88,41291,0
2014-02-24,-154.87,-153.23,-157.75,-156.09,37726,0
2014-02-25,-155.77,-155.44,-161.56,-160.43,55998,0
2014-02-26,-161.92,-158.27,-163.17,-160.71,32081,0
2014-02-27,-160.61,-157.60,-162.37,-158.29,31031,0
2014-02-28,-158.25,-153.46,-158.29,-154.10,50730,0
2014-03-03,-154.12,-150.00,-155.50,-150.05,59068,0
2014-03-04,-152.37,-146.44,-152.47,-151.31,61549,0
2014-03-05,-150.79,-145.87,-152.47,-145.99,57126,0
2014-03-06,-145.68,-143.96,-148.34,-144.20,51716,0
2014-03-07,-144.20,-139.91,-145.82,-141.32,70313,0
2014-03-10,-141.89,-141.06,-150.79,-148.39,60481,0
2014-03-11,-149.16,-142.88,-149.91,-144.06,46658,0
2014-03-12,-144.96,-142.88,-149.34,-147.07,44484,0
2014-03-13,-147.84,-141.64,-148.25,-141.83,51591,0
2014-03-14,-142.50,-140.90,-144.37,-142.66,30170,0
2014-03-17,-141.73,-140.35,-144.20,-140.51,38960,0
2014-03-18,-139.00,-132.47,-139.00,-136.50,71963,0
2014-03-19,-137.68,-133.46,-138.42,-133.98,42792,0
2014-03-20,-134.04,-133.87,-138.42,-138.27,41012,0
2014-03-21,-138.88,-135.96,-141.31,-136.44,48785,0
2014-03-24,-136.77,-132.86,-137.68,-136.53,31848,0
2014-03-25,-138.92,-138.92,-149.50,-140.23,75508,0
2014-03-26,-141.64,-140.81,-147.21,-147.11,69424,0
2014-03-27,-147.79,-145.20,-148.83,-147.79,46034,0
2014-03-28,-147.66,-146.69,-153.29,-151.94,58410,0
2014-03-31,-152.46,-148.02,-152.47,-150.24,37006,0
2014-04-01,-150.23,-143.75,-150.49,-143.80,41196,0
2014-04-02,-143.59,-137.87,-145.01,-141.20,56504,0
2014-04-03,-139.61,-139.50,-142.96,-141.47,32570,0
2014-04-04,-142.01,-141.48,-145.03,-142.50,28080,0
2014-04-08,-142.62,-141.38,-145.02,-142.11,31371,0
2014-04-09,-141.71,-140.38,-144.10,-143.09,26158,0
2014-04-10,-143.16,-136.75,-146.27,-138.00,65555,0
2014-04-11,-135.94,-129.66,-135.94,-132.57,109173,0
2014-04-14,-133.71,-131.55,-135.11,-133.99,32457,0
2014-04-15,-134.95,-132.74,-134.95,-133.88,31314,0
2014-04-16,-134.54,-133.82,-137.44,-136.75,26669,0
2014-04-17,-136.93,-132.63,-137.42,-133.30,35990,0
2014-04-18,-133.46,-131.17,-134.87,-133.21,23717,0
2014-04-21,-134.28,-132.65,-135.94,-135.90,22184,0
2014-04-22,-135.94,-133.35,-136.34,-135.83,27037,0
2014-04-23,-135.87,-132.23,-135.92,-132.59,40844,0
2014-04-24,-132.51,-132.05,-134.54,-132.83,15223,0
2014-04-25,-139.26,-139.25,-144.38,-141.98,116011,0
2014-04-28,-144.14,-142.09,-146.01,-143.55,39965,0
2014-04-29,-143.54,-141.33,-143.82,-142.89,33875,0
2014-04-30,-142.59,-142.31,-143.77,-142.65,23257,0
2014-05-05,-142.96,-142.96,-148.27,-145.65,44459,0
2014-05-06,-145.86,-143.63,-145.86,-145.20,16483,0
2014-05-07,-144.53,-144.53,-146.19,-145.31,14472,0
2014-05-08,-145.20,-143.80,-145.51,-145.30,17784,0
2014-05-09,-145.31,-143.96,-145.61,-145.34,20232,0
2014-05-12,-143.96,-143.96,-146.27,-145.11,31695,0
2014-05-13,-145.22,-144.53,-146.22,-145.25,19286,0
2014-05-14,-145.87,-145.09,-150.81,-149.77,41160,0
2014-05-15,-150.01,-148.27,-150.40,-149.04,20549,0
2014-05-16,-149.04,-148.25,-150.26,-149.86,22345,0
2014-05-19,-152.06,-151.64,-155.82,-155.79,68062,0
2014-05-20,-155.69,-154.58,-159.41,-158.27,56732,0
2014-05-21,-159.00,-152.75,-159.12,-153.29,46872,0
2014-05-22,-153.38,-151.15,-154.41,-154.08,22601,0
2014-05-23,-154.12,-151.82,-154.14,-152.22,16952,0
2014-05-26,-150.07,-150.07,-151.77,-151.17,10782,0
2014-05-27,-151.64,-149.37,-151.76,-151.48,15772,0
2014-05-28,-151.73,-149.99,-151.81,-150.87,15127,0
2014-05-29,-151.04,-149.22,-151.26,-150.58,12229,0
2014-05-30,-150.61,-149.76,-151.63,-151.46,11153,0
2014-06-03,-151.64,-150.40,-152.26,-151.83,15788,0
2014-06-04,-151.65,-151.33,-154.10,-153.17,12697,0
2014-06-05,-153.20,-149.99,-154.68,-150.18,25021,0
2014-06-06,-150.25,-149.45,-152.23,-151.15,11467,0
2014-06-09,-152.22,-150.49,-152.22,-151.45,12142,0
2014-06-10,-151.44,-149.75,-151.44,-150.15,23360,0
2014-06-11,-150.20,-149.68,-151.47,-150.87,13045,0
2014-06-12,-150.76,-150.76,-152.37,-151.95,13914,0
2014-06-13,-151.90,-150.96,-153.16,-151.80,20533,0
2014-06-16,-151.72,-150.17,-152.14,-150.47,19647,0
2014-06-17,-150.57,-150.57,-152.30,-151.49,19801,0
2014-06-18,-150.98,-150.44,-151.31,-151.16,16970,0
2014-06-19,-151.18,-150.65,-152.06,-151.87,13976,0
2014-06-20,-151.89,-151.15,-152.20,-151.49,14542,0
2014-06-23,-151.23,-148.85,-151.34,-148.91,35070,0
2014-06-24,-148.65,-142.72,-148.71,-142.91,46624,0
2014-06-25,-141.99,-141.99,-145.47,-144.80,41988,0
2014-06-26,-144.80,-144.12,-145.55,-145.34,39983,0
2014-06-27,-145.54,-145.54,-147.54,-146.49,29125,0
2014-06-30,-145.76,-144.20,-146.47,-145.03,26839,0
2014-07-01,-144.48,-144.48,-146.10,-145.22,13141,0
2014-07-02,-144.99,-144.69,-145.92,-144.94,13274,0
2014-07-03,-144.82,-143.74,-145.56,-143.87,21265,0
2014-07-04,-143.74,-143.03,-144.36,-143.81,16943,0
2014-07-07,-144.29,-142.94,-144.82,-143.05,25167,0
2014-07-08,-143.10,-143.04,-145.90,-144.85,23201,0
2014-07-09,-145.01,-144.22,-145.90,-145.70,15761,0
2014-07-10,-145.81,-145.17,-146.29,-145.89,13375,0
2014-07-11,-145.49,-144.02,-145.81,-145.13,20276,0
2014-07-14,-145.13,-136.93,-145.47,-137.95,51188,0
2014-07-15,-138.55,-130.47,-138.55,-134.28,64666,0
2014-07-16,-134.24,-131.58,-134.24,-133.59,26904,0
2014-07-17,-134.02,-132.69,-135.92,-134.33,22210,0
2014-07-18,-134.48,-124.10,-135.29,-127.76,82386,0
2014-07-21,-128.29,-126.03,-129.93,-127.76,33157,0
2014-07-22,-129.01,-125.01,-129.01,-125.74,32803,0
2014-07-23,-126.83,-124.10,-127.19,-125.11,30619,0
2014-07-24,-125.23,-120.38,-126.56,-125.44,39250,0
2014-07-25,-125.01,-123.15,-127.69,-125.12,30617,0
2014-07-28,-124.80,-121.39,-125.99,-124.79,47265,0
2014-07-29,-124.74,-124.74,-128.41,-127.69,39618,0
2014-07-30,-127.98,-127.98,-131.83,-130.00,60363,0
2014-07-31,-130.20,-128.30,-131.41,-128.40,27726,0
2014-08-01,-128.49,-124.74,-128.99,-125.94,47585,0
2014-08-04,-125.92,-123.54,-126.57,-124.65,42732,0
2014-08-05,-125.01,-122.59,-127.13,-122.97,42193,0
