date,open,high,low,close,volume,turnover
2025-06-26,26.210,29.510,26.210,29.510,35215592,957118564.000
2025-06-27,30.310,39.910,30.260,39.660,19184954,691163750.000
2025-06-30,41.310,51.310,41.310,47.960,23034590,1087193402.000
2025-07-02,50.010,52.010,40.660,42.810,12292132,565569494.000
2025-07-03,43.010,43.310,36.610,39.510,12070660,474095338.000
2025-07-04,40.260,40.310,35.360,36.810,7881250,292559323.000
2025-07-07,35.910,39.310,35.310,38.210,3745900,144732270.000
2025-07-08,38.560,39.210,36.960,37.410,3719500,143097792.000
2025-07-09,37.510,38.610,37.010,37.560,2666200,102008860.000
2025-07-10,38.510,38.860,36.660,36.910,2271400,86832615.000
2025-07-11,36.960,36.960,33.260,34.110,4213460,148889270.000
2025-07-14,34.710,34.910,32.510,33.210,1854900,62548449.000
2025-07-15,33.210,38.010,33.210,37.610,4342583,157473455.000
2025-07-16,37.610,38.810,36.610,38.160,2954020,112495015.000
2025-07-17,37.760,40.560,37.760,40.560,2849402,113428191.000
2025-07-18,42.010,42.310,37.610,38.510,2234100,90501790.000
2025-07-21,38.310,39.510,37.310,38.960,1435802,55752251.000
2025-07-22,39.010,39.560,37.910,38.110,1132420,44265163.000
2025-07-23,38.710,38.810,37.410,38.210,1108302,42496266.000
2025-07-24,38.210,38.960,37.510,38.460,1029060,39733327.000
2025-07-25,38.160,38.910,37.610,38.210,772600,29944547.000
2025-07-28,38.210,38.860,37.510,38.260,960540,36953428.000
2025-07-29,38.260,38.510,37.660,38.060,433300,16696492.000
2025-07-30,38.060,38.060,36.710,37.310,901002,34023137.000
2025-07-31,36.810,37.860,35.510,36.710,944700,35211561.000
2025-08-01,36.510,37.310,36.310,36.710,489400,18322565.000
2025-08-04,37.210,37.590,36.670,37.110,551300,20796960.000
2025-08-05,37.110,37.990,36.610,37.510,583400,22031384.000
2025-08-06,37.490,37.890,37.210,37.690,277400,10554526.000
2025-08-07,37.510,39.510,37.450,38.930,2822020,110860353.000
2025-08-08,39.210,39.450,38.010,38.550,779930,30562690.000
2025-08-11,38.550,40.870,38.510,39.950,2173000,86924806.000
2025-08-12,39.950,46.310,39.530,45.950,5145521,225171690.000
2025-08-13,45.510,46.850,44.010,44.810,2242690,103177331.000
2025-08-14,45.010,47.510,44.810,45.650,2307200,107498838.000
2025-08-15,45.410,45.410,42.870,43.390,1457500,64622798.000
2025-08-18,43.610,48.010,43.190,47.590,2571240,121150709.000
2025-08-19,47.510,49.110,46.730,47.410,1839300,88831342.000
2025-08-20,46.710,47.270,45.650,46.710,987600,46451689.000
2025-08-21,46.710,48.490,46.250,47.490,1000600,48134114.000
2025-08-22,48.510,49.310,46.050,46.610,1089100,52007106.000
2025-08-25,46.610,48.710,44.210,45.550,1969300,91328348.000
2025-08-26,45.510,46.350,44.730,45.390,755700,34769652.000
2025-08-27,45.610,46.010,41.830,42.210,1643200,71720346.000
2025-08-28,42.210,42.230,39.310,39.870,1921000,78079417.000
2025-08-29,40.430,42.930,40.410,42.410,1736640,72825988.000
2025-09-01,42.410,45.510,41.590,44.510,1553304,68946126.000
2025-09-02,45.010,45.710,43.330,44.010,1221800,54797892.000
2025-09-03,44.110,45.010,43.310,43.550,690700,30791190.000
2025-09-04,43.570,44.030,42.150,42.570,467100,20350908.000
2025-09-05,42.710,49.860,42.610,49.710,6270830,303690806.000
2025-09-08,51.010,51.810,46.510,47.830,5456100,269962084.000
2025-09-09,47.530,50.910,47.530,49.010,3831012,191658003.000
2025-09-10,49.410,50.010,48.130,48.810,2378800,117320171.000
2025-09-11,48.910,51.160,47.510,49.470,2716518,135694033.000
2025-09-12,50.510,54.860,50.010,53.810,5256314,280131427.000
2025-09-15,57.060,57.060,47.810,49.250,9771960,486805396.000
2025-09-16,49.130,49.910,47.010,48.090,3111500,151921144.000
2025-09-17,48.810,50.260,47.150,49.090,3060298,150632131.000
2025-09-18,49.090,49.090,47.810,48.010,1828300,89438294.000
2025-09-19,48.710,48.710,45.310,46.570,2111678,98992678.000
2025-09-22,46.570,47.690,46.330,47.110,1173420,55842068.000
2025-09-23,47.920,48.160,45.000,45.260,1210100,55394300.000
2025-09-24,45.680,45.680,43.500,43.500,1052200,46194964.000
2025-09-25,44.020,44.820,42.220,44.360,1918230,83929891.000
2025-09-26,44.360,45.740,43.520,45.160,1139600,51077980.000
2025-09-29,45.120,46.360,44.700,45.560,1279200,58275356.000
2025-09-30,45.560,46.200,44.600,45.600,968700,43973036.000
2025-10-02,45.620,49.900,44.700,49.000,2910900,138317246.000
2025-10-03,49.000,49.180,46.600,47.660,1384500,65840684.000
2025-10-06,48.500,48.660,45.620,45.800,728800,33781668.000
2025-10-08,45.800,46.440,45.100,45.840,876200,40072894.000
2025-10-09,45.380,45.840,43.740,44.160,1340200,59686016.000
2025-10-10,44.160,44.400,42.840,43.680,941400,41069636.000
2025-10-13,43.440,43.780,41.320,43.700,870600,36921556.000
2025-10-14,43.700,43.840,40.720,41.200,896100,37593218.000
2025-10-15,41.260,42.400,40.500,41.660,936700,38844994.000
2025-10-16,41.680,42.480,40.700,40.800,663000,27563602.000
2025-10-17,41.260,42.500,39.480,41.880,1348698,54867567.000
2025-10-20,41.880,42.780,40.560,42.120,736600,30663828.000
2025-10-21,42.700,42.860,41.180,41.600,566600,23821354.000
2025-10-22,41.160,41.160,39.260,40.720,799900,31992126.000
2025-10-23,40.060,40.780,39.040,40.060,771000,30780860.000
2025-10-24,40.500,40.900,39.100,39.900,594100,23716456.000
2025-10-27,40.000,42.880,39.900,41.860,838600,34890364.000
2025-10-28,40.800,44.180,40.800,43.320,2038600,87277984.000
2025-10-30,43.400,45.000,43.400,44.800,3270800,144886080.000
