date,open,high,low,close,volume,turnover
2014-01-02,23452.760,23469.330,23173.930,23340.051,12527507339,78748597001.000
2014-01-03,23097.980,23097.980,22782.420,22817.279,14481243928,105213334429.000
2014-01-06,22732.830,22757.450,22567.770,22684.150,13762876347,69982401621.000
2014-01-07,22689.250,22802.850,22644.580,22712.779,14221814100,67666607731.000
2014-01-08,22834.810,23031.190,22778.830,22996.590,16971166514,91187619881.000
2014-01-09,22925.230,23044.970,22709.030,22787.330,15655254203,75793004272.000
2014-01-10,22735.930,22932.210,22726.840,22846.250,15217667015,80155397917.000
2014-01-13,23046.410,23067.330,22762.240,22888.760,14465558656,65531203692.000
2014-01-14,22637.550,22883.000,22637.550,22791.279,13583057952,67134977824.000
2014-01-15,22985.780,23010.070,22826.980,22902.000,15398019861,66119754332.000
2014-01-16,23085.140,23085.140,22936.740,22986.410,16086316184,78574757691.000
2014-01-17,22898.480,23263.420,22849.100,23133.350,16150479811,93397942875.000
2014-01-20,23048.130,23089.240,22884.620,22928.949,16871502677,83169364376.000
2014-01-21,23040.840,23139.650,22986.470,23033.119,15962813222,74257321185.000
2014-01-22,22954.770,23119.610,22913.660,23082.250,16035401860,81369359378.000
2014-01-23,23082.010,23093.850,22722.580,22733.900,14405710078,82450728588.000
2014-01-24,22522.440,22659.720,22435.720,22450.061,16070677064,89074169122.000
2014-01-27,22019.100,22044.230,21880.730,21976.100,15621761970,105918226131.000
2014-01-28,22012.510,22022.140,21892.200,21960.641,12834905979,78156079208.000
2014-01-29,22111.630,22222.700,22109.930,22141.609,12086319275,83904336177.000
2014-01-30,21827.330,22052.160,21746.230,22035.420,7790205133,61883818174.000
2014-02-04,21561.700,21609.590,21388.610,21397.770,12429778394,95243976367.000
2014-02-05,21564.880,21564.880,21197.780,21269.381,12945432421,80587229221.000
2014-02-06,21320.910,21440.400,21277.010,21423.131,10309062329,72326481398.000
2014-02-07,21498.090,21703.690,21480.090,21636.850,12751889753,73191583640.000
2014-02-10,21646.750,21687.840,21524.810,21579.260,13709917413,63428836546.000
2014-02-11,21623.790,22025.580,21623.790,21962.981,13440473257,74486734286.000
2014-02-12,22057.700,22308.250,22010.560,22285.789,14412134678,82171790730.000
2014-02-13,22297.700,22297.700,22098.200,22165.529,13355233845,70466514682.000
2014-02-14,22382.720,22412.740,22243.770,22298.410,15878959183,66274979920.000
2014-02-17,22463.400,22585.680,22463.400,22535.940,16417647683,64775502603.000
2014-02-18,22535.200,22592.360,22437.380,22587.721,14926497369,69076482947.000
2014-02-19,22600.600,22708.400,22534.190,22664.520,14074182875,65574290741.000
2014-02-20,22595.910,22742.720,22297.850,22394.080,15610591981,81024665343.000
2014-02-21,22617.630,22633.290,22442.390,22568.240,14309583091,63076691174.000
2014-02-24,22576.350,22576.350,22260.130,22388.561,13308087372,57169266267.000
2014-02-25,22498.420,22518.840,22259.760,22317.199,16756487529,65438214204.000
2014-02-26,22297.620,22502.960,22258.890,22437.440,14352811861,63280643281.000
2014-02-27,22465.960,22866.230,22432.480,22828.180,17065738792,73193714816.000
2014-02-28,22942.960,22986.700,22709.520,22836.961,18713516720,76967821654.000
2014-03-03,22630.770,22749.130,22487.230,22500.670,18506384827,66843851354.000
2014-03-04,22542.170,22783.980,22534.100,22657.631,17773228304,63796704044.000
2014-03-05,22839.430,22839.430,22529.830,22579.779,17451793031,64958818467.000
2014-03-06,22588.770,22764.380,22588.760,22702.971,17281900675,70510612734.000
2014-03-07,22728.530,22820.410,22604.020,22660.490,19878983862,69504156189.000
2014-03-10,22339.420,22388.460,22206.800,22264.930,20020916850,68047885892.000
2014-03-11,22234.610,22351.990,22198.070,22269.609,20466195797,56331507010.000
2014-03-12,22019.030,22019.030,21873.200,21901.949,21874991093,78981322656.000
2014-03-13,21920.940,22041.330,21743.340,21756.080,18370944002,69146728479.000
2014-03-14,21612.070,21630.700,21462.490,21539.490,17235196092,75467928604.000
2014-03-17,21494.370,21535.700,21423.030,21473.949,12445625735,55779718630.000
2014-03-18,21549.220,21606.980,21469.210,21583.500,13374799643,64856220704.000
