date,open,high,low,close,volume,turnover
2020-07-27,6918.050,7014.840,6677.160,6774.780,1180934989,33996697001.000
2020-07-28,6930.580,7012.620,6902.570,7012.620,960990451,31260433251.000
2020-07-29,6971.980,7099.940,6951.100,7085.150,929817245,27633899231.000
2020-07-30,7160.240,7244.190,7083.790,7100.210,1076312931,33190179882.000
2020-07-31,7193.550,7285.560,7108.150,7155.030,926219917,30020249307.000
2020-08-03,7255.440,7311.530,7127.200,7292.450,931450056,37495761686.000
2020-08-04,7390.330,7448.950,7330.110,7436.590,2449062004,42424997191.000
2020-08-05,7488.740,7547.200,7398.660,7547.200,1213631407,38106935082.000
2020-08-06,7579.880,7588.850,7420.510,7576.840,1077141192,37406179363.000
2020-08-07,7551.800,7551.800,7144.760,7386.660,1482709346,70175508273.000
2020-08-10,7279.540,7279.540,7119.290,7176.170,871724576,49955983798.000
2020-08-11,7217.050,7274.640,7085.290,7129.840,826585663,34141030179.000
2020-08-12,7086.930,7086.930,6833.880,7010.720,1129500994,36321667513.000
2020-08-13,7116.740,7133.180,7008.400,7031.810,837252820,30801403601.000
2020-08-14,7019.180,7091.000,6975.840,7038.260,664266372,24644671108.000
2020-08-17,7037.860,7117.170,7004.770,7075.030,985416743,30807747569.000
2020-08-18,7147.730,7196.010,7075.060,7196.010,1479311806,43291768252.000
2020-08-19,7187.710,7251.570,7131.430,7150.410,809568764,30195621559.000
2020-08-20,7183.250,7183.250,7060.780,7167.600,782603303,30889079547.000
2020-08-21,7205.570,7208.730,7104.010,7168.870,978238353,39601829475.000
2020-08-24,7247.600,7332.190,7198.760,7329.910,1031199043,56450263184.000
2020-08-25,7348.100,7355.490,7153.690,7223.670,885220444,44704469714.000
2020-08-26,7311.500,7326.570,7219.820,7275.440,1127608381,46128135492.000
2020-08-27,7352.090,7574.230,7311.000,7540.860,1445516294,53855666302.000
2020-08-28,7521.870,7745.920,7430.020,7580.900,1669778059,59063830815.000
2020-08-31,7746.630,7771.280,7543.860,7543.860,1372354639,51562501341.000
2020-09-01,7556.900,7683.660,7526.330,7674.710,1568498839,43280376033.000
2020-09-02,7874.070,7909.390,7764.780,7909.390,1300841421,47399960048.000
2020-09-03,7889.480,7889.480,7678.150,7706.060,1138297271,47771894504.000
2020-09-04,7342.830,7622.350,7290.830,7588.020,1888068982,90494483348.000
2020-09-07,7481.190,7487.950,7213.810,7240.960,1622186015,59818823410.000
2020-09-08,7301.720,7326.010,7007.090,7123.280,1017590615,45802631142.000
2020-09-09,6984.190,7086.740,6906.750,7015.640,1342953743,38551284006.000
2020-09-10,7133.840,7200.800,6994.630,6999.720,1486818383,30699535821.000
2020-09-11,7001.260,7195.960,6986.970,7178.270,4442834485,29193876270.000
2020-09-14,7235.430,7345.080,7232.970,7317.310,3877928259,32177433984.000
2020-09-15,7327.130,7374.480,7281.240,7348.720,2777387244,37422189736.000
2020-09-16,7401.880,7464.420,7370.020,7430.090,3177255465,31679609263.000
2020-09-17,7403.110,7433.000,7245.870,7301.560,1422864649,29862152324.000
2020-09-18,7314.720,7371.820,7237.950,7371.820,1235173931,36077678045.000
2020-09-21,7408.780,7422.870,7188.840,7195.750,1031325220,29057480825.000
2020-09-22,7202.010,7319.080,7144.890,7233.320,827000590,23894463279.000
2020-09-23,7270.290,7327.990,7235.370,7298.620,783111192,24246870719.000
2020-09-24,7218.710,7223.840,7051.110,7054.280,1359589669,28705124139.000
2020-09-25,7110.420,7134.450,6860.750,6918.770,2471584219,25974616078.000
2020-09-28,6921.460,6998.210,6897.620,6978.590,1199730995,22131113651.000
2020-09-29,7063.950,7078.740,6965.700,6977.300,664481735,19504089934.000
2020-09-30,7017.170,7143.140,6981.220,7087.640,735614412,28787453576.000
2020-10-05,7255.730,7255.730,7049.820,7092.060,659896571,26845485238.000
2020-10-06,7154.800,7350.200,7141.420,7336.350,620619819,23729182066.000
2020-10-07,7358.220,7494.590,7300.090,7494.590,912963860,27072344444.000
2020-10-08,7527.520,7527.520,7438.450,7511.110,1016625487,23549405486.000
2020-10-09,7567.750,7597.290,7467.870,7503.270,997771480,33374716117.000
2020-10-12,7575.670,7749.980,7575.670,7748.850,1006260717,39313647370.000
2020-10-14,7878.840,7878.840,7725.800,7819.840,1124836905,46176874075.000
2020-10-15,7766.270,7769.070,7504.740,7541.040,756539962,35433844493.000
2020-10-16,7661.680,7675.580,7540.760,7604.610,650189406,25260996165.000
2020-10-19,7687.370,7723.860,7559.620,7570.710,682074166,27302428930.000
2020-10-20,7592.770,7644.480,7516.300,7644.480,1013722593,24622252820.000
2020-10-21,7707.120,7732.200,7609.390,7618.060,661054122,24737553140.000
2020-10-22,7624.140,7624.140,7495.480,7620.340,521700474,23180416917.000
2020-10-23,7600.350,7600.350,7441.650,7484.480,595992875,21142427242.000
2020-10-27,7457.470,7603.440,7449.860,7547.660,1596074539,35950393034.000
2020-10-28,7577.040,7694.830,7520.690,7656.450,1145525446,43178258179.000
2020-10-29,7541.890,7729.820,7535.230,7675.420,1196127354,42672213924.000
2020-10-30,7691.830,7778.820,7509.780,7534.390,1027781688,48784318515.000
2020-11-02,7601.140,7643.020,7474.700,7585.760,581958377,29399208483.000
2020-11-03,7626.980,7774.110,7626.980,7714.730,708182520,35944870793.000
2020-11-04,7594.790,7817.480,7574.610,7758.720,1417301745,76146764114.503
2020-11-05,8062.580,8181.620,8045.110,8181.620,1200781633,62390947391.045
2020-11-06,8200.200,8229.280,8020.850,8152.540,896102740,53453924895.324
2020-11-09,8325.850,8524.940,8324.450,8394.190,1501967548,54603309359.666
2020-11-10,8214.520,8214.520,7841.110,7961.740,1207149808,84639122653.690
2020-11-11,7724.610,7827.500,7450.350,7465.440,1208615962,110870287069.476
2020-11-12,7679.100,7812.500,7672.130,7706.580,680941677,58508505085.655
2020-11-13,7772.010,7939.720,7714.360,7939.720,754534554,51914515109.102
2020-11-16,8075.930,8079.540,7890.320,8075.830,646951238,44595911976.079
2020-11-17,8044.210,8044.210,7838.900,7933.130,716900830,45546470762.817
2020-11-18,7940.060,7986.660,7885.910,7972.210,538367339,32974624900.645
2020-11-19,7946.250,7946.250,7799.560,7903.370,617755202,33253566718.178
2020-11-20,7975.980,8038.460,7949.210,7997.520,692086404,34896256505.344
