date,open,high,low,close,volume,turnover
2020-10-12,1009.793,1040.452,1002.007,1030.251,64879453,565905498.000
2020-10-14,1004.754,1033.661,1002.766,1033.402,46000443,403918587.000
2020-10-15,1035.929,1050.616,1016.232,1040.958,49220865,363899576.000
2020-10-16,1052.295,1063.653,1043.350,1048.876,42231576,324538309.000
2020-10-19,1044.802,1065.884,1031.018,1032.710,64088278,548019420.000
2020-10-20,1052.020,1065.641,1027.323,1050.793,65224525,491328047.000
2020-10-21,1060.400,1098.216,1060.170,1084.321,59687581,473471988.000
2020-10-22,1080.771,1096.024,1061.230,1087.447,47393542,387132491.000
2020-10-23,1072.419,1084.134,1061.868,1069.277,33798433,292044825.000
2020-10-27,1076.967,1087.989,1062.477,1074.534,39801615,322939485.000
2020-10-28,1076.633,1099.754,1060.707,1071.059,58934607,413915600.000
2020-10-29,1046.551,1073.139,1038.690,1065.247,44656144,418054493.000
2020-10-30,1064.807,1084.826,1039.987,1044.593,48655477,360969643.000
2020-11-02,1048.195,1111.674,1044.600,1108.354,70800765,546887776.000
2020-11-03,1092.550,1160.310,1092.468,1126.583,81564701,612085529.000
2020-11-04,1126.675,1151.524,1116.898,1130.761,52559337,421949003.000
2020-11-05,1140.920,1149.197,1111.770,1133.417,63897062,502230805.000
2020-11-06,1154.990,1214.498,1152.339,1201.008,118999904,1218027488.000
2020-11-09,1212.716,1242.394,1197.226,1229.391,75608891,703743358.000
2020-11-10,1182.666,1193.461,1154.126,1173.910,122797672,1227589920.000
2020-11-11,1168.051,1173.725,1133.331,1148.781,82575497,752438305.000
2020-11-12,1144.739,1196.722,1134.321,1189.523,77504284,604770853.000
2020-11-13,1201.020,1204.801,1155.564,1170.613,71178046,556818374.000
2020-11-16,1180.625,1256.402,1170.330,1250.011,106223881,885878765.000
2020-11-17,1247.900,1261.685,1223.000,1231.280,75962558,640094008.000
2020-11-18,1229.627,1291.137,1229.311,1270.635,99971205,865864822.000
2020-11-19,1269.738,1269.978,1239.983,1246.951,59343094,529950064.000
2020-11-20,1256.499,1298.763,1246.413,1293.324,96979571,778220711.000
2020-11-23,1304.340,1365.759,1295.191,1346.695,119762378,1020839374.000
2020-11-24,1325.591,1325.602,1280.262,1307.752,124004192,1215862290.000
